"Time (s)","Sound pressure level (dB)"
8.707261455E0,-1.489483286E1
8.814714840E0,-1.471302077E1
8.922984007E0,-1.411650479E1
9.030049319E0,-1.519630705E1
9.138530153E0,-1.499184654E1
9.247538278E0,-1.540033787E1
9.355873069E0,-1.477821092E1
9.464566871E0,-1.452278819E1
9.572408434E0,-1.413423618E1
9.680729371E0,-1.475367406E1
9.787759892E0,-1.464846913E1
9.894659944E0,-1.452083865E1
1.000176510E1,-1.359189191E1
1.010962802E1,-1.492331389E1
1.021691057E1,-1.530674445E1
1.032417703E1,-1.360101000E1
1.043229322E1,-1.466205712E1
1.053940880E1,-1.483170990E1
1.064645031E1,-1.537917563E1
1.075462739E1,-1.536078138E1
1.086176083E1,-1.548516374E1
1.096889229E1,-1.509069901E1
1.107604453E1,-1.540121057E1
1.118861359E1,-1.542540833E1
1.130384151E1,-1.515509827E1
1.141082614E1,-1.479611713E1
1.152114864E1,-1.621879879E1
1.162920156E1,-1.566715308E1
1.173642474E1,-1.566071870E1
1.184520843E1,-1.562701858E1
1.195264817E1,-1.434768640E1
1.206023958E1,-1.453661246E1
1.217013062E1,-1.589870491E1
1.227773312E1,-1.576784317E1
1.238694161E1,-1.486708421E1
1.249506624E1,-1.548133680E1
1.260249234E1,-1.550025449E1
1.271001609E1,-1.469660337E1
1.281830364E1,-1.595089448E1
1.292553781E1,-1.583256255E1
1.303341166E1,-1.572474864E1
1.314188963E1,-1.587403145E1
1.325399255E1,-1.551153754E1
1.336129505E1,-1.516340609E1
1.346876093E1,-1.566935171E1
1.357600401E1,-1.471875094E1
1.368327104E1,-1.437099256E1
1.379182270E1,-1.568981445E1
1.389901932E1,-1.548230994E1
1.400764802E1,-1.558265016E1
1.412124458E1,-1.562707198E1
1.422862484E1,-1.537098640E1
1.433596713E1,-1.513729844E1
1.444502317E1,-1.546070892E1
1.455279234E1,-1.505012196E1
1.466001786E1,-1.559069299E1
1.476833874E1,-1.628383936E1
1.487553078E1,-1.488549383E1
1.498799161E1,-1.535741970E1
1.509574442E1,-1.603413021E1
1.521009526E1,-1.513543930E1
1.531832328E1,-1.506481702E1
1.542672442E1,-1.529354780E1
1.553513239E1,-1.554202445E1
1.564250385E1,-1.599096175E1
1.574972619E1,-1.519480186E1
1.585690223E1,-1.546868375E1
1.596442302E1,-1.620873656E1
1.607175468E1,-1.468771906E1
1.617929015E1,-1.525723141E1
1.628680270E1,-1.413339956E1
1.639575088E1,-1.545678026E1
1.650385531E1,-1.512092935E1
1.661140145E1,-1.566128613E1
1.671998005E1,-1.539397108E1
1.682689364E1,-1.519073288E1
1.693402661E1,-1.576676756E1
1.704424109E1,-1.545532497E1
1.715918473E1,-1.540901325E1
1.726675187E1,-1.518538179E1
1.737398182E1,-1.501138452E1
1.748138656E1,-1.587701790E1
1.759037463E1,-1.515245120E1
1.769824833E1,-1.504056963E1
1.780584546E1,-1.524717708E1
1.791328208E1,-1.561907391E1
1.802050754E1,-1.493043529E1
1.812795458E1,-1.538572308E1
1.823510796E1,-1.480356996E1
1.834288588E1,-1.531070500E1
1.845038020E1,-1.574413141E1
1.855782702E1,-1.561583698E1
1.866482666E1,-1.524782713E1
1.877193119E1,-1.597492408E1
1.887930682E1,-1.514872561E1
1.898836265E1,-1.470813798E1
1.910159036E1,-1.495640275E1
1.920904827E1,-1.466771428E1
1.931714072E1,-1.478063801E1
1.942543999E1,-1.590743280E1
1.953292859E1,-1.544390982E1
1.964026067E1,-1.614656012E1
1.974763359E1,-1.611068697E1
1.985464572E1,-1.463477245E1
1.996208781E1,-1.441496078E1
2.006924760E1,-1.428965939E1
2.017646249E1,-1.422769528E1
2.028449556E1,-1.511903846E1
2.039195890E1,-1.512545259E1
2.049938093E1,-1.473669570E1
2.060687739E1,-1.417185601E1
2.071405937E1,-1.388498404E1
2.082111749E1,-1.474877739E1
2.092950150E1,-1.630095555E1
2.103876770E1,-1.520638043E1
2.114617046E1,-1.583827620E1
2.125374369E1,-1.536973956E1
2.136184744E1,-1.547465123E1
